Identifier (RIC);Company Name;"Market Cap
(Σ=Avg)";"1-day Price PCT Change
(Σ=Avg)";"5-day Price PCT Change
(Σ=Avg)";"4-week Price PCT Change
(Σ=Avg)";"13-week Price PCT Change
(Σ=Avg)";"26-week Price PCT Change
(Σ=Avg)";"YTD Price PCT Change
(Σ=Avg)";"52-week Price PCT Change
(Σ=Avg)";"Price 52 Week High
(Σ=Avg)";"Price 52 Week Low
(Σ=Avg)";"Average Daily Volume - 10 Days
(Σ=Avg)";"Average Daily Volume - 3 Months
(Σ=Avg)";"ESG Score
(FY0)
(Σ=None)";"ESG Combined Score Grade
(FY0)";"ESG Combined Score
(FY0)
(Σ=None)";"Price Close
(Σ=None)";"Market Cap
(Σ=None)";"P/E (LTM) - IBES Actual
(Σ=None)";"Price To Book
(Σ=None)";"ROE
(Σ=None)";"Total Debt Percentage of Total Equity
(FY0)
(Σ=None)";ICB Sector name
Totals (30);;409 323 854 181;-1,0%;-0,5%;-10,4%;-0,4%;6,5%;-1,6%;11,1%;397,82;232,54;3 042 951;2 795 680;;;;;;;;;;
.OMXS30;Nasdaq Clearing AB;;-0,9%;0,0%;-11,1%;0,5%;8,3%;-0,7%;11,3%;3 230,07;2 097,58;91 288 534;83 870 410;;;;;;;;;;
SAABb.ST;Saab AB;SEK 317 040 534 953;-3,6%;-7,9%;-9,4%;11,8%;3,1%;10,1%;46,4%;SEK 748,80;SEK 310,55;1 641 547;2 229 090;64,03;B;64,03;SEK 591,70;SEK 317 040 534 953,17;$ 50,11;0,1%;SEK 15,77;33,7%;Aerospace and Defense
SEBa.ST;Skandinaviska Enskilda Banken AB;SEK 350 081 133 612;0,1%;-4,1%;-11,5%;-11,4%;-7,9%;-12,5%;0,8%;SEK 204,50;SEK 123,85;3 239 735;3 039 280;72,19;B+;72,19;SEK 170,70;SEK 350 081 133 612,37;$ 10,97;0,0%;SEK 13,91;388,1%;Banks
SKFb.ST;SKF AB;SEK 99 589 152 780;-1,7%;3,4%;-16,1%;-10,1%;-6,2%;-11,4%;2,9%;SEK 265,80;SEK 157,70;1 347 193;1 292 219;76,91;A-;76,91;SEK 217,90;SEK 99 589 152 780,12;$ 12,61;2,2%;SEK 14,23;26,9%;Industrial Metals and Mining
NIBEb.ST;Nibe Industrier AB;SEK 65 585 155 004;-1,7%;4,8%;-1,1%;5,3%;6,4%;2,9%;-8,4%;SEK 47,64;SEK 30,05;12 808 808;9 948 864;62,82;B;62,82;SEK 36,65;SEK 65 585 155 003,75;$ 32,28;;SEK 6,59;74,5%;Construction and Materials
ABB.ST;Abb Ltd;SEK 1 379 443 370 697;-2,8%;-1,8%;-11,2%;8,9%;12,0%;9,0%;36,8%;SEK 845,40;SEK 442,20;539 802;546 163;89,26;A;89,26;SEK 749,40;SEK 1 379 443 370 696,85;$ 30,58;0,4%;$ 33,04;49,9%;Electronic and Electrical Equipment
HMb.ST;H & M Hennes & Mauritz AB;SEK 241 022 556 799;-0,3%;0,9%;-11,6%;-7,5%;-1,6%;-8,4%;27,7%;SEK 194,30;SEK 120,00;2 521 185;2 057 109;63,09;C+;42,41;SEK 170,30;SEK 241 022 556 799,42;$ 21,66;;SEK 26,62;180,6%;Retailers
VOLVb.ST;Volvo AB;SEK 612 352 425 260;-0,1%;4,2%;-14,7%;2,8%;8,7%;1,4%;-2,1%;SEK 354,00;SEK 220,80;4 119 924;3 583 764;82,44;C;41,53;SEK 300,10;SEK 612 352 425 259,72;$ 17,57;0,0%;SEK 19,19;138,4%;Industrial Transportation
BOL.ST;Boliden AB;SEK 133 421 593 668;-0,5%;-13,4%;-34,8%;-6,8%;26,9%;-9,2%;34,5%;SEK 727,80;SEK 259,40;1 962 347;1 534 314;79,89;A-;79,89;SEK 467,70;SEK 133 421 593 667,88;$ 13,67;;SEK 13,43;31,1%;Industrial Metals and Mining
